1,1538
2,813
3,531
4,390
5,274
6,211
7,176
8,158
9,116
10,89
12,72
11,70
13,69
14,68
15,66
17,53
16,46
18,34
19,33
20,27
22,27
24,25
30,22
32,21
28,21
26,20
21,19
27,18
23,18
25,16
33,14
34,14
29,13
36,12
43,12
37,11
31,11
41,10
35,10
38,9
47,8
51,8
40,8
56,7
46,7
49,7
44,6
39,6
42,6
50,6
53,5
57,5
70,5
62,4
96,4
54,4
82,4
45,4
48,4
59,4
55,4
68,3
100,3
69,3
76,3
122,3
78,3
104,3
83,3
90,3
124,3
63,3
93,2
159,2
153,2
168,2
85,2
75,2
102,2
73,2
79,2
323,2
91,2
372,2
107,2
115,2
178,2
98,2
128,2
116,2
58,2
72,2
111,2
60,2
119,2
351,1
92,1
84,1
80,1
64,1
136,1
52,1
208,1
211,1
219,1
227,1
472,1
444,1
244,1
224,1
216,1
88,1
337,1
61,1
65,1
110,1
114,1
118,1
126,1
134,1
146,1
150,1
162,1
194,1
222,1
230,1
262,1
270,1
330,1
406,1
478,1
850,1
1594,1
71,1
87,1
99,1
94,1
86,1
66,1
181,1
81,1
89,1
105,1
109,1
121,1
125,1
133,1
141,1
145,1
245,1
371,1
261,1
297,1
103,1
365,1
485,1
629,1
155,1
143,1
135,1
1475,1
