1,3417
2,1597
4,1428
3,1066
5,620
8,607
6,479
7,383
13,319
18,311
9,309
12,290
16,272
10,238
11,228
19,194
15,183
17,181
14,168
21,144
26,120
20,116
23,100
30,97
22,93
25,86
27,86
24,76
29,76
31,70
42,69
54,59
28,58
55,55
34,54
39,50
36,47
40,45
35,44
32,40
48,40
53,39
37,37
41,34
56,32
38,29
33,28
52,27
46,26
47,25
43,22
44,22
57,19
50,17
45,17
49,15
61,13
74,13
51,13
75,13
58,12
64,12
79,11
72,11
62,10
65,10
63,10
59,10
82,9
60,9
80,9
70,9
73,9
67,8
69,8
77,8
86,8
113,7
99,7
85,7
115,7
71,7
66,7
81,7
89,7
76,6
68,6
108,6
106,6
132,6
78,6
130,5
98,5
112,5
125,5
95,5
87,5
101,5
93,5
90,4
109,4
83,4
84,4
146,4
117,4
91,4
119,4
111,4
92,3
124,3
172,3
97,3
210,3
193,3
104,3
96,3
105,3
134,3
107,3
161,3
197,3
128,2
123,2
131,2
120,2
147,2
144,2
160,2
440,2
162,2
154,2
138,2
114,2
129,2
145,2
153,2
169,2
185,2
88,2
139,2
371,2
229,2
259,2
94,2
135,2
127,2
133,2
157,2
100,2
275,2
143,2
102,2
126,2
150,2
174,2
198,1
454,1
1264,1
118,1
670,1
598,1
502,1
142,1
382,1
137,1
302,1
294,1
344,1
270,1
222,1
206,1
166,1
171,1
312,1
328,1
320,1
711,1
623,1
463,1
455,1
439,1
391,1
359,1
343,1
327,1
279,1
271,1
231,1
223,1
215,1
207,1
136,1
199,1
152,1
151,1
168,1
184,1
192,1
224,1
248,1
256,1
177,1
305,1
949,1
483,1
194,1
164,1
226,1
234,1
322,1
338,1
474,1
156,1
140,1
116,1
731,1
467,1
170,1
919,1
347,1
251,1
243,1
227,1
219,1
211,1
203,1
195,1
187,1
155,1
178,1
188,1
209,1
245,1
217,1
163,1
329,1
481,1
489,1
521,1
993,1
1281,1
1417,1
685,1
277,1
213,1
196,1
165,1
149,1
141,1
764,1
428,1
420,1
396,1
268,1
252,1
220,1
212,1
983,1
